retsept,koostisosad,juhised,pilt
Kana Alfredo pasta,"pasta, kanaliha, või, küüslauk, vahukoor, juust, sool, pipar","Keeda spagetid soolases vees. Prae tükeldatud kanafilee võis kuldpruuniks, lisa hakitud küüslauk. Sega hulka vahukoor ja juust, maitsesta soola-pipraga. Serveeri pasta kastmega.",ressursid/pildid/kana_alfredo.jpg
Chilli con carne,"hakkliha, oad, tomatipasta, sibul, küüslauk, oliiviõli","Prae sibul ja küüslauk oliiviõlis, lisa hakkliha ja pruunista. Sega hulka tomatipasta, punased oad ja maitseained. Hauta madalal kuumusel 20 minutit.",ressursid/pildid/chilli_con_carne.jpg
Hakklihakaste,"hakkliha, sibul, jahu, piim, või, sool, pipar","Prae hakkliha ja hakitud sibul. lisa jahu, sega ja prae läbi. Lisa piim ja sega, kuni kaste pakseneb. Maitsesta soola ja pipraga.",ressursid/pildid/hakklihakaste.jpg
Burritod,"tortilla, hakkliha, tomatipasta, paprika, sibul, juust, salat, hapukoor","Prae hakkliha sibula ja paprikaga, lisa tomatipasta. Laota täidis tortillale, lisa salatilehed, juust ja hapukoor. Keera kokku ja soojenda.",ressursid/pildid/burrito.jpg
Bolognese pasta,"pasta, hakkliha, tomatipasta, sibul, küüslauk, porgand, oliiviõli, sool, pipar",Prae hakkliha ja hakitud köögiviljad oliiviõlis. Lisa tomatipasta ja hauta 15 minutit. Serveeri keedetud spagettidega.,ressursid/pildid/bolognese.jpg
Tuunikalasalat,"tuunikala, muna, kartul, herned, majonees, sool, pipar","Keeda kartulid ja tükelda. Sega kokku tuunikala, hakitud keedumuna, kartul ja herned. Lisa majonees ja maitsesta soola-pipraga.",ressursid/pildid/tuunikalasalat.jpg
Ahjuviinerid ja ahjujuurviljad,"viiner, kartul, porgand, sibul, oliiviõli, sool, pipar","Lõika köögiviljad sektoriteks, sega oliiviõli, soola ja pipraga. Laota ahjuplaadile koos viineritega ja küpseta 200°C juures 25-30 minutit.",ressursid/pildid/viiner.jpg
Ühepajatoit,"kartul, porgand, kapsas, hakkliha, puljong, sool, pipar","Prae hakkliha. lisa potti hakitud köögiviljad ja puljong. Hauta madalal kuumusel, kuni köögiviljad on pehmed.",ressursid/pildid/yhepajatoit.jpg
Frikadellisupp,"frikadellid, kartul, porgand, sibul, puljong, sool, pipar","Keeda puljongis hakitud kartul ja porgand. Lisa sibul ja frikadellid, keeda kuni köögiviljad on pehmed.",ressursid/pildid/frikadellisupp.jpg
Lihapallid pastaga,"hakkliha, muna, sai, sibul, tomatipasta, pasta, sool, pipar","Sega hakkliha, muna ja riivsai, vormi pallid ja prae. Lisa tomatipasta ja hauta 10 minutit. Serveeri spagettidega.",ressursid/pildid/lihapallid.jpg
Pannkoogid,"jahu, piim, muna, suhkur, sool, või","Sega jahu, piim, muna, suhkur ja sool taignaks. Prae pannil kuldpruuniks.",ressursid/pildid/pannkoogid.jpg
Pestopasta,"pasta, pesto, juust, oliiviõli, sool","Keeda pasta soolases vees, sega hulka pesto ja oliiviõli. Serveeri juustuga.",ressursid/pildid/pestopasta.jpg
Kartulivorm kanaga,"kartul, kanaliha, vahukoor, juust, sibul","Viiluta kartulid ja sibul, laota ahjuvormi. Lisa tükeldatud kanafilee, maitsesta ja kata koore ning juustuga. Küpseta 200 kraadi juures 40 minutit.",ressursid/pildid/kartulivorm.jpg
Ahjus küpsetatud köögiviljad,"bataat, porgand, brokoli, oliiviõli","Tükelda köögiviljad, sega õli ja maitseainetega, küpseta ahjus 180 kraadi juures 25 minutit.",ressursid/pildid/ahjujuurviljad.jpg
Täidetud paprikad,"paprika, hakkliha, riis, tomatikaste, juust","Tükelda paprikate pealsed ja eemalda seemned. Täida hakkliha, riisi ja tomatikastme seguga, kata juustuga. Küpseta 180 kraadi juures 25 minutit.",ressursid/pildid/taidetudpaprika.jpg
Minestrone supp,"pasta, porgand, kõrvits, tomat, puljong, oad","Keeda tükeldatud köögiviljad puljongis, lisa makaronid ja oad. Keeda kuni pehme.",ressursid/pildid/minestrone.jpg
Sealiha hautis,"sealiha, sibul, kartul, porgand, puljong","Prae sealiha ja sibul, lisa puljong ja tükeldatud köögiviljad, hauta kuni liha ja köögiviljad on pehmed.",ressursid/pildid/seahautis.jpg
