Recipe Name,Ingredients,Instructions
Kana Alfredo pasta,"Spagetid, Kanafilee, Või, Küüslauk, Rõõsk koor, Parmesan, Sool, Pipar","Keeda spagetid soolases vees. Prae tükeldatud kanafilee võis kuldpruuniks, lisa hakitud küüslauk. Sega hulka rõõsk koor ja parmesan, maitsesta soola-pipraga. Serveeri pasta kastmega."
Chilli con carne,"Hakkliha, Punased oad, Tomatipasta, Sibul, Küüslauk, Paprikapulber, Köömned, Oliiviõli","Prae sibul ja küüslauk oliiviõlis, lisa hakkliha ja pruunista. Sega hulka tomatipasta, punased oad ja maitseained. Hauta madalal kuumusel 20 minutit."
Hakklihakaste,"Hakkliha, Sibul, Jahu, Piim, Või, Sool, Pipar","Prae hakkliha ja hakitud sibul. Lisa jahu, sega ja prae läbi. Lisa piim ja sega, kuni kaste pakseneb. Maitsesta soola ja pipraga."
Burritod,"Tortillad, Hakkliha, Tomatipasta, Paprika, Sibul, Riivjuust, Salatilehed, Hapukoor","Prae hakkliha sibula ja paprikaga, lisa tomatipasta. Laota täidis tortillale, lisa salatilehed, riivjuust ja hapukoor. Keera kokku ja soojenda."
Laetud nachod,"Nachod, Hakkliha, Tomat, Sibul, Jalapeñod, Riivjuust, Hapukoor, Salsa","Laota nachod ahjuplaadile, lisa pruunistatud hakkliha, hakitud tomatid, sibul ja jalapeñod. Kata riivjuustuga ja küpseta 180°C juures 10 minutit. Serveeri hapukoore ja salsaga."
Bolognese pasta,"Spagetid, Hakkliha, Tomatipasta, Sibul, Küüslauk, Porgand, Oliiviõli, Sool, Pipar",Prae hakkliha ja hakitud köögiviljad oliiviõlis. Lisa tomatipasta ja hauta 15 minutit. Serveeri keedetud spagettidega.
Caesari salat,"Romainesalat, Kanafilee, Krutoonid, Parmesan, Caesari kaste","Grilli kanafilee ja viiluta. Sega salatilehed, krutoonid ja riivitud parmesan. Lisa Caesari kaste ja sega."
Tuunikalasalat,"Tuunikala, Keedumuna, Kartul, Herned, Majonees, Sool, Pipar","Keeda kartulid ja tükelda. Sega kokku tuunikala, hakitud keedumuna, kartul ja herned. Lisa majonees ja maitsesta soola-pipraga."
Ahjuviinerid ja ahjujuurviljad,"Viinerid, Kartul, Porgand, Sibul, Oliiviõli, Rosmariin, Sool, Pipar","Lõika köögiviljad sektoriteks, sega oliiviõli, soola ja pipraga. Laota ahjuplaadile koos viineritega ja küpseta 200°C juures 25-30 minutit."
Kanakarri,"Kanafilee, Kookospiim, Karri, Sibul, Küüslauk, Riis, Oliiviõli, Sool","Keeda riis. Prae sibul ja küüslauk oliiviõlis, lisa tükeldatud kana ja pruunista. Sega hulka karri ja kookospiim ning hauta 15 minutit. Serveeri riisiga."
Aasiapärane nuudliroog,"Nuudlid, Kanafilee, Paprika, Porgand, Sojakaste, Küüslauk, Ingver, Oliiviõli","Keeda nuudlid. Prae tükeldatud kanafilee ja köögiviljad oliiviõlis, lisa hakitud küüslauk ja ingver. Sega hulka sojakaste ja nuudlid."
Kotletid kartuliga,"Hakkliha, Muna, Riivsai, Sibul, Kartul, Või, Piim, Sool, Pipar","Sega hakklihast, munast, riivsaiast ja hakitud sibulast tainas, vormi kotletid ja prae. Keeda kartulid, tambi püreeks ja lisa piim ning või."
Ühepajatoit,"Kartul, Porgand, Kapsas, Hakkliha, Puljong, Sool, Pipar","Prae hakkliha. Lisa potti hakitud köögiviljad ja puljong. Hauta madalal kuumusel, kuni köögiviljad on pehmed."
Frikadellisupp,"Frikadellid, Kartul, Porgand, Sibul, Puljong, Sool, Pipar","Keeda puljongis hakitud kartul ja porgand. Lisa sibul ja frikadellid, keeda kuni köögiviljad on pehmed."
Lihapallid spagettidega,"Hakkliha, Muna, Riivsai, Sibul, Tomatipasta, Spagetid, Sool, Pipar","Sega hakkliha, muna ja riivsai, vormi pallid ja prae. Lisa tomatipasta ja hauta 10 minutit. Serveeri spagettidega."
Õunapurukook,"Õunad, Või, Jahu, Kaerahelbed, Suhkur, Kaneel","Viiluta õunad ja laota vormi. Sega jahu, kaerahelbed, suhkur ja kaneel, lisa või ning näpi purutaoliseks massiks. Kata õunad ja küpseta 180°C juures 25-30 minutit."
Pannkoogid,"Jahu, Piim, Muna, Suhkur, Sool, Või","Sega jahu, piim, muna, suhkur ja sool taignaks. Prae pannil kuldpruuniks."
Pestopasta,"Pasta, Pesto, Parmesan, Oliiviõli, Sool","Keeda pasta soolases vees, sega hulka pesto ja oliiviõli. Serveeri parmesani juustuga."
Praetud riis kana ja köögiviljadega,"Riis, Kanafilee, Herned, Porgand, Munad, Sojakaste, Küüslauk, Oliiviõli","Keeda riis. Prae tükeldatud kana, lisa hakitud köögiviljad ja küüslauk. Lükka kõrvale, klopi munad ja lisa pannile. Sega kõik kokku ning lisa sojakaste."
Kartulivorm kanaga,"Kartulid, Kanafilee, Rõõsk koor, Juust, Sibul, Maitseained","Viiluta kartulid ja sibul, laota ahjuvormi. Lisa tükeldatud kanafilee, maitsesta ja kata koore ning riivjuustuga. Küpseta 200 kraadi juures 40 minutit."
Ahjus küpsetatud köögiviljad,"Bataat, Porgand, Brokoli, Oliiviõli, Maitseained","Tükelda köögiviljad, sega oliiviõli ja maitseainetega, küpseta ahjus 180 kraadi juures 25 minutit."
Kana tikka masala,"Kanafilee, Tikka masala pasta, Kookospiim, Riis, Sibul","Prae sibul ja tükeldatud kanafilee, lisa tikka masala pasta ja kookospiim. Hauta 15 minutit ja serveeri keedetud riisiga."
Lasanje,"Lasanjeplaadid, Hakkliha, Tomatikaste, Juust, Béchamel kaste","Kihita lasanjeplaadid, hakklihasegu ja kastmed ahjuvormi. Küpseta 200 kraadi juures 30 minutit."
Veiseliha stroganov,"Veiseliha, Sibul, Hapukoor, Sinep, Jahu, Riis","Prae veiseliha ja sibul, lisa hapukoor, sinep ja jahu. Hauta kuni liha on pehme. Serveeri keedetud riisiga."
Köögiviljakarri,"Suvikõrvits, Kartul, Lillkapsas, Kookospiim, Karri, Riis","Prae köögiviljad, lisa karri ja kookospiim, hauta kuni pehme. Serveeri riisiga."
Moussaka,"Baklažaan, Hakkliha, Tomatikaste, Juust, Béchamel kaste","Viiluta baklažaan ja prae. Lao kihiti hakklihasegu, tomatikaste ja baklažaanid ahjuvormi. Kata béchamel kastme ja juustuga, küpseta ahjus."
